__v,_id,close,high,low,open,time,volumefrom,volumeto
0,61d9f0fb277a3d193579fcff,7183.88,7325.24,7141.94,7234.44,2019-12-31T00:00:00.000Z,19424.26,140384995.27
0,61d9f0fc277a3d193579fd01,7189.94,7267.16,7171.82,7183.88,2020-01-01T00:00:00.000Z,11872,85986188.11
0,61d9f0fc277a3d193579fd03,6965.72,7224.84,6945.83,7189.94,2020-01-02T00:00:00.000Z,26531.32,187393954.35
0,61d9f0fc277a3d193579fd05,7339.7,7407.11,6882.62,6965.72,2020-01-03T00:00:00.000Z,51975.01,376690440.38
0,61d9f0fc277a3d193579fd07,7357.5,7405.75,7278.6,7339.7,2020-01-04T00:00:00.000Z,22083.57,162106895.05
0,61d9f0fc277a3d193579fd09,7359.96,7501.42,7330.07,7357.5,2020-01-05T00:00:00.000Z,24084.13,179147746.87
0,61d9f0fc277a3d193579fd0b,7762.69,7799.63,7355.11,7359.96,2020-01-06T00:00:00.000Z,46443.66,352286216.6
0,61d9f0fc277a3d193579fd0d,8160.36,8218.63,7736.57,7762.69,2020-01-07T00:00:00.000Z,75423.75,600054472.25
0,61d9f0fc277a3d193579fd0f,8045.15,8458.65,7873.97,8160.36,2020-01-08T00:00:00.000Z,85087.59,699004342.7
0,61d9f0fc277a3d193579fd11,7817.35,8047.11,7757.04,8045.15,2020-01-09T00:00:00.000Z,40045.64,316199456.84
0,61d9f0fc277a3d193579fd13,8190.31,8192.05,7682.56,7817.35,2020-01-10T00:00:00.000Z,55534.09,441131626.25
0,61d9f0fc277a3d193579fd15,8024.58,8287.42,8003.87,8190.31,2020-01-11T00:00:00.000Z,30734.63,250060123.9
0,61d9f0fc277a3d193579fd17,8181.49,8185.14,7968.4,8024.58,2020-01-12T00:00:00.000Z,17525.61,142197585.82
0,61d9f0fc277a3d193579fd19,8106.56,8200.4,8057.37,8181.49,2020-01-13T00:00:00.000Z,22746,184437465.66
0,61d9f0fc277a3d193579fd1b,8820.95,8874.07,8106.4,8106.56,2020-01-14T00:00:00.000Z,89444.78,768098459.01
0,61d9f0fc277a3d193579fd1d,8813.21,8890.04,8559.93,8820.95,2020-01-15T00:00:00.000Z,50394.79,441186933.78
0,61d9f0fc277a3d193579fd1f,8719.63,8846.78,8586.56,8813.21,2020-01-16T00:00:00.000Z,33539.82,290989712.92
0,61d9f0fc277a3d193579fd21,8894.83,9004.35,8665.99,8719.63,2020-01-17T00:00:00.000Z,48787.4,432856377.78
